ID;FULL;Label;Character
1011001001;[Adventurer] Bell Cranel;Adventurer;Bell Cranel
1011001002;[Liaris Freese] Bell Cranel;Liaris Freese;Bell Cranel
1011001003;[Ox Slayer] Bell Cranel;Ox Slayer;Bell Cranel
1011001004;[Record Holder] Bell Cranel;Record Holder;Bell Cranel
1011001005;[Argonaut] Bell Cranel;Argonaut;Bell Cranel
1011001006;[Breezy Freese] Bell Cranel;Breezy Freese;Bell Cranel
1011001008;[The White Rabbit] Bell Cranel;The White Rabbit;Bell Cranel
1011001009;[A Fresh Start] Bell Cranel;A Fresh Start;Bell Cranel
1011001010;[Dungeon Addict] Bell Cranel;Dungeon Addict;Bell Cranel
1011001011;[Honor Succession] Bell Cranel;Honor Succession;Bell Cranel
1011001012;[ODM Fighter] Bell Cranel;ODM Fighter;Bell Cranel
1011001013;[Aspiring Elegance] Bell Cranel;Aspiring Elegance;Bell Cranel
1011001014;[Moonlight Oath] Bell Cranel;Moonlight Oath;Bell Cranel
1011001015;[The Edgiest Teen] Bell Cranel;The Edgiest Teen;Bell Cranel
1011001016;[Outlaw Rabbit] Bell Cranel;Outlaw Rabbit;Bell Cranel
1011001017;[The Enlightened] Bell Cranel;The Enlightened;Bell Cranel
1011001018;[Regalia Freese] Bell Cranel;Regalia Freese;Bell Cranel
1011001019;[Sword Unleashed] Bell Cranel;Sword Unleashed;Bell Cranel
1011001020;[Ready for Act] Bell Cranel;Ready for Act;Bell Cranel
1011001021;[Pyonkichi MK-II] Bell Cranel;Pyonkichi MK-II;Bell Cranel
1011001022;[Duel Strive] Bell Cranel;Duel Strive;Bell Cranel
1011002001;[Battle Princess] Ais Wallenstein;Battle Princess;Ais Wallenstein
1011002002;[Girl of the Wind] Ais Wallenstein;Girl of the Wind;Ais Wallenstein
1011002003;[Sword Princess] Ais Wallenstein;Sword Princess;Ais Wallenstein
1011002004;[Heroic Liaris] Ais Wallenstein;Heroic Liaris;Ais Wallenstein
1011002006;[Gorgeous Princess] Ais Wallenstein;Gorgeous Princess;Ais Wallenstein
1011002007;[Splash Princess] Ais Wallenstein;Splash Princess;Ais Wallenstein
1011002009;[Santa Princess] Ais Wallenstein;Santa Princess;Ais Wallenstein
1011002010;[Bathroom Princess] Ais Wallenstein;Bathroom Princess;Ais Wallenstein
1011002011;[Sparkle Princess] Ais Wallenstein;Sparkle Princess;Ais Wallenstein
1011002012;[Cold Princess] Ais Wallenstein;Cold Princess;Ais Wallenstein
1011002013;[Honor Princess] Ais Wallenstein;Honor Princess;Ais Wallenstein
1011002014;[Summer Princess] Ais Wallenstein;Summer Princess;Ais Wallenstein
1011002015;[Bunny Princess] Ais Wallenstein;Bunny Princess;Ais Wallenstein
1011002016;[Glitter Princess] Ais Wallenstein;Glitter Princess;Ais Wallenstein
1011002017;[Starving Mind] Ais Wallenstein;Starving Mind;Ais Wallenstein
1011002018;[Regiment Princess] Ais Wallenstein;Regiment Princess;Ais Wallenstein
1011002019;[Crimson Tempest] Ais Wallenstein;Crimson Tempest;Ais Wallenstein
1011002020;[Sweet Princess] Ais Wallenstein;Sweet Princess;Ais Wallenstein
1011002021;[Devil Princess] Ais Wallenstein;Devil Princess;Ais Wallenstein
1011002022;[Angelic Leader] Ais Wallenstein;Angelic Leader;Ais Wallenstein
1011002023;[Beauty] Ais Wallenstein;Beauty;Ais Wallenstein
